"","date","count"
"13",2014-12-01,2132
"10",2014-12-02,2101
"11",2014-12-03,2194
"4",2014-12-04,1969
"17",2014-12-05,1568
"14",2014-12-06,909
"15",2014-12-07,1087
"6",2014-12-08,1714
"7",2014-12-09,1654
"23",2014-12-10,1626
"22",2014-12-11,1508
"25",2014-12-12,1166
"24",2014-12-13,712
"27",2014-12-14,883
"26",2014-12-15,1331
"29",2014-12-16,1370
"28",2014-12-17,1262
"19",2014-12-18,1120
"18",2014-12-19,901
"2",2014-12-20,767
"3",2014-12-21,714
"16",2014-12-22,698
"5",2014-12-23,699
"30",2014-12-24,555
"31",2014-12-25,519
"12",2014-12-26,674
"1",2014-12-27,610
"8",2014-12-28,650
"9",2014-12-29,1026
"21",2014-12-30,1315
"20",2014-12-31,1048
"52",2015-01-01,685
"51",2015-01-02,870
"50",2015-01-03,994
"49",2015-01-04,909
"48",2015-01-05,1139
"47",2015-01-06,1079
"46",2015-01-07,1145
"45",2015-01-08,1024
"44",2015-01-09,940
"34",2015-01-10,682
"35",2015-01-11,662
"36",2015-01-12,1092
"37",2015-01-13,1002
"38",2015-01-14,1024
"39",2015-01-15,1148
"40",2015-01-16,972
"41",2015-01-17,540
"32",2015-01-18,654
"33",2015-01-19,896
"58",2015-01-20,1026
"57",2015-01-21,1064
"60",2015-01-22,1082
"59",2015-01-23,819
"54",2015-01-24,643
"53",2015-01-25,698
"56",2015-01-26,984
"55",2015-01-27,1036
"62",2015-01-28,974
"61",2015-01-29,1132
"42",2015-01-30,833
"43",2015-01-31,434
"78",2015-02-01,597
"76",2015-02-02,806
"77",2015-02-03,852
"74",2015-02-04,856
"75",2015-02-05,1095
"72",2015-02-06,2023
"73",2015-02-07,1863
"70",2015-02-08,1698
"71",2015-02-09,2369
"87",2015-02-10,1638
"86",2015-02-11,1552
"89",2015-02-12,4756
"88",2015-02-13,1291
"83",2015-02-14,945
"82",2015-02-15,945
"85",2015-02-16,1141
"84",2015-02-17,1332
"81",2015-02-18,992
"80",2015-02-19,1032
"64",2015-02-20,991
"65",2015-02-21,830
"66",2015-02-22,856
"67",2015-02-23,1192
"68",2015-02-24,1274
"69",2015-02-25,1295
"79",2015-02-26,1278
"90",2015-02-27,1430
"63",2015-02-28,1210
"114",2015-03-01,1215
"116",2015-03-02,1769
"115",2015-03-03,1775
"118",2015-03-04,1709
"117",2015-03-05,1618
"120",2015-03-06,1524
"119",2015-03-07,1261
"107",2015-03-08,1502
"106",2015-03-09,1691
"98",2015-03-10,1610
"99",2015-03-11,1655
"96",2015-03-12,1705
"97",2015-03-13,1686
"102",2015-03-14,1258
"103",2015-03-15,1438
"100",2015-03-16,1732
"101",2015-03-17,1817
"94",2015-03-18,1749
"95",2015-03-19,1670
"109",2015-03-20,1509
"108",2015-03-21,1420
"105",2015-03-22,1512
"104",2015-03-23,1846
"113",2015-03-24,1763
"112",2015-03-25,1848
"111",2015-03-26,543
"110",2015-03-27,656
"91",2015-03-28,398
"121",2015-03-29,426
"92",2015-03-30,514
"93",2015-03-31,573
"125",2015-04-01,491
"126",2015-04-02,445
"127",2015-04-03,426
"128",2015-04-04,335
"129",2015-04-05,350
"130",2015-04-06,471
"131",2015-04-07,470
"123",2015-04-08,504
"124",2015-04-09,482
"151",2015-04-10,438
"150",2015-04-11,296
"149",2015-04-12,332
"148",2015-04-13,573
"147",2015-04-14,557
"146",2015-04-15,680
"145",2015-04-16,626
"144",2015-04-17,539
"143",2015-04-18,384
"142",2015-04-19,439
"138",2015-04-20,663
"139",2015-04-21,580
"136",2015-04-22,694
"137",2015-04-23,569
"134",2015-04-24,479
"135",2015-04-25,299
"132",2015-04-26,425
"133",2015-04-27,582
"140",2015-04-28,535
"141",2015-04-29,519
"122",2015-04-30,730
"154",2015-05-01,484
"153",2015-05-02,498
"152",2015-05-03,303
"158",2015-05-04,546
"157",2015-05-05,598
"156",2015-05-06,687
"155",2015-05-07,612
"160",2015-05-08,703
"159",2015-05-09,0
"161",2015-05-10,546
